step,tokens,ppl,copa,boolq,hellaswag,seconds
4000,4194304000,24.18,54.7,53.3,32.0,1416
8000,8388608000,19.33,58.7,53.3,30.7,1097
12000,12582912000,17.77,61.3,53.3,32.7,1089
